column0,column1,column2,column3,column4,column5
Infosys,Final,350.00,13-04-2023,02-06-2023,02-06-2023
HDFC Bank,Final,1900.00,17-04-2023,16-05-2023,16-05-2023
APTUS VALUE,Interim,0.00,20-04-2023,12-05-2023,12-05-2023
Mindspace REIT,Interim,0.00,21-04-2023,10-05-2023,10-05-2023
RamkrishnaForge,Interim,0.00,10-04-2023,09-05-2023,09-05-2023
Castrol,Final,70.00,13-02-2023,04-05-2023,04-05-2023
CRISIL,Interim,700.00,10-04-2023,04-05-2023,04-05-2023
Stovec Ind,Final,470.00,28-02-2023,-,02-05-2023
Sanofi India,Final,1940.00,23-02-2023,-,28-04-2023
Sanofi India,Special,1830.00,24-02-2023,-,28-04-2023
HCL Tech,Interim,900.00,17-03-2023,28-04-2023,28-04-2023
KSB Pumps,Final,150.00,23-02-2023,-,28-04-2023
Jindal Stainles,Special,50.00,18-04-2023,28-04-2023,28-04-2023
ABB India,Final,275.00,10-02-2023,-,27-04-2023
Vesuvius India,Final,82.50,28-02-2023,26-04-2023,26-04-2023
Nestle,Final,750.00,16-02-2023,21-04-2023,21-04-2023
Nestle,Interim,270.00,12-04-2023,21-04-2023,21-04-2023
EID Parry,Interim,400.00,10-04-2023,21-04-2023,21-04-2023
Mold-Tek Pack,Interim,80.00,10-04-2023,21-04-2023,21-04-2023
Mold Tek Tech,Interim,100.00,10-04-2023,21-04-2023,21-04-2023
Huhtamaki India,Final,100.00,08-02-2023,-,20-04-2023
Thyrocare Techn,Interim,180.00,10-04-2023,20-04-2023,20-04-2023
Dhampur Sugar,Interim,50.00,27-03-2023,18-04-2023,18-04-2023
Dhampur Sugar,Special,10.00,28-03-2023,18-04-2023,18-04-2023
Muthoot Finance,Interim,220.00,20-03-2023,18-04-2023,18-04-2023
Britannia,Interim,7200.00,28-03-2023,13-04-2023,13-04-2023
Edelweiss,Interim,25.00,31-03-2023,13-04-2023,13-04-2023
Good Luck,Interim,100.00,31-03-2023,14-04-2023,13-04-2023
Varun Beverages,Final,10.00,28-03-2023,12-04-2023,12-04-2023
Visaka Ind,Interim,70.00,28-03-2023,12-04-2023,12-04-2023
Schaeffler Ind,Final,1200.00,16-02-2023,-,11-04-2023
United Nilgiri,Interim,10.00,22-03-2023,07-04-2023,06-04-2023
Rail Vikas,Interim,17.70,21-03-2023,06-04-2023,06-04-2023
Vedanta,Interim,2050.00,23-03-2023,07-04-2023,06-04-2023
Dwarikesh Sugar,Interim,200.00,14-03-2023,31-03-2023,31-03-2023
IGL,Interim,500.00,20-03-2023,31-03-2023,31-03-2023
CRISIL,Final,2300.00,17-02-2023,-,31-03-2023
Angel One,Interim,96.00,17-03-2023,31-03-2023,31-03-2023
Brand Concepts,Final,5.00,20-03-2023,30-03-2023,29-03-2023
SBI Card,Interim,25.00,16-03-2023,29-03-2023,29-03-2023
Hind Zinc,Interim,1300.00,16-03-2023,29-03-2023,29-03-2023
Styrenix,Interim,800.00,09-03-2023,24-03-2023,24-03-2023
Glenmark Life,Interim,1050.00,14-03-2023,24-03-2023,24-03-2023
Bharat Elec,Interim,60.00,10-03-2023,25-03-2023,24-03-2023
ABSL AMC,Interim,100.00,10-03-2023,24-03-2023,24-03-2023
SAIL,Interim,10.00,10-03-2023,24-03-2023,24-03-2023
Mishra Dhatu Ni,Interim,16.80,01-03-2023,23-03-2023,23-03-2023
AGI Infra,Interim,10.00,06-03-2023,22-03-2023,21-03-2023
Kama Holdings,Interim,840.00,08-03-2023,21-03-2023,21-03-2023
HUDCO,Interim,7.50,28-02-2023,22-03-2023,21-03-2023
NALCO,Interim,50.00,08-03-2023,21-03-2023,21-03-2023
GAIL,Interim,40.00,06-03-2023,21-03-2023,21-03-2023
Poddar Pigments,Interim,35.00,09-03-2023,22-03-2023,21-03-2023
KDDL,Interim,20.00,09-03-2023,21-03-2023,21-03-2023
Sun TV Network,Interim,50.00,08-03-2023,21-03-2023,21-03-2023
Hindustan Aeron,Interim,200.00,01-03-2023,20-03-2023,20-03-2023
Ujjivan Financi,Interim,50.00,06-03-2023,20-03-2023,20-03-2023
SRU Steels Limi,Interim,1.00,27-02-2023,20-03-2023,20-03-2023
Nettlinx,Interim,4.00,06-03-2023,17-03-2023,17-03-2023
Taparia Tools,Interim,775.00,24-02-2023,16-03-2023,16-03-2023
SBI Life Insura,Interim,25.00,02-03-2023,16-03-2023,16-03-2023
CG Power,Interim,75.00,02-03-2023,15-03-2023,15-03-2023
DIC India,Final,20.00,08-02-2023,15-03-2023,15-03-2023
Allcargo,Interim,162.50,01-03-2023,15-03-2023,15-03-2023
Marico,Interim,450.00,17-02-2023,08-03-2023,08-03-2023
